class_val,ppa_gpe,proportion_of_landscape,total_area,park,var,year
3,PPA,1.4371570420695061,4.95,BullCanyonPark,fragstats,2015
1,PPA,52.57963212202782,210.96,BurgesJamesGadsdenPark,fragstats,2015
2,PPA,38.13369223867205,153.0,BurgesJamesGadsdenPark,fragstats,2015
3,PPA,9.286675639300135,37.26,BurgesJamesGadsdenPark,fragstats,2015
1,PPA,72.68493641411428,365.22,BurgoyneBayPark,fragstats,2015
2,PPA,25.953788285867812,130.41,BurgoyneBayPark,fragstats,2015
3,PPA,1.3612753000179114,6.84,BurgoyneBayPark,fragstats,2015
1,PPA,80.99823524898335,1900.17,BurnieRiverProtectedArea,fragstats,2015
2,PPA,18.265173022327936,428.49,BurnieRiverProtectedArea,fragstats,2015
3,PPA,0.7365917286887133,17.28,BurnieRiverProtectedArea,fragstats,2015
1,PPA,61.91723879275319,21395.7,BurnieSheaPark,fragstats,2015
2,PPA,24.951555939866857,8622.09,BurnieSheaPark,fragstats,2015
3,PPA,13.131205267379958,4537.53,BurnieSheaPark,fragstats,2015
1,PPA,65.35859269282814,43.47,BurnsLakePark,fragstats,2015
2,PPA,5.953991880920162,3.96,BurnsLakePark,fragstats,2015
3,PPA,28.687415426251693,19.08,BurnsLakePark,fragstats,2015
1,PPA,87.26251003478727,586.98,BurntCabinBogEcologicalReserve,fragstats,2015
2,PPA,12.229060743912228,82.26,BurntCabinBogEcologicalReserve,fragstats,2015
3,PPA,0.5084292213005084,3.42,BurntCabinBogEcologicalReserve,fragstats,2015
1,PPA,56.427444794952685,128.79,BuseLakeProtectedArea,fragstats,2015
2,PPA,34.18769716088328,78.03,BuseLakeProtectedArea,fragstats,2015
3,PPA,9.384858044164037,21.42,BuseLakeProtectedArea,fragstats,2015
1,PPA,59.821698596994125,4094.55,ButlerRidgePark,fragstats,2015
2,PPA,39.11717137184258,2677.41,ButlerRidgePark,fragstats,2015
3,PPA,1.0611300311632983,72.63,ButlerRidgePark,fragstats,2015
1,PPA,42.42968282465589,63.81,CaligataLakePark,fragstats,2015
2,PPA,45.18252543387193,67.95,CaligataLakePark,fragstats,2015
3,PPA,12.387791741472173,18.63,CaligataLakePark,fragstats,2015
1,PPA,26.854160174509193,2171.61,CallaghanConservancy,fragstats,2015
2,PPA,43.2800605440057,3499.92,CallaghanConservancy,fragstats,2015
3,PPA,29.865779281485107,2415.15,CallaghanConservancy,fragstats,2015
1,PPA,39.36440112164508,1061.28,CallaghanLakePark,fragstats,2015
2,PPA,45.212979035919346,1218.96,CallaghanLakePark,fragstats,2015
3,PPA,15.422619842435573,415.8,CallaghanLakePark,fragstats,2015
1,PPA,71.24087591240875,43.92,CallLakePark,fragstats,2015
2,PPA,19.124087591240876,11.79,CallLakePark,fragstats,2015
3,PPA,9.635036496350365,5.94,CallLakePark,fragstats,2015
1,PPA,21.29310344827586,22.23,CampbellBrownKalamalkaLakeEcologicalReserve,fragstats,2015
2,PPA,78.70689655172414,82.17,CampbellBrownKalamalkaLakeEcologicalReserve,fragstats,2015
1,PPA,32.22222222222222,2.61,CanimBeachPark,fragstats,2015
2,PPA,28.88888888888889,2.34,CanimBeachPark,fragstats,2015
3,PPA,38.888888888888886,3.15,CanimBeachPark,fragstats,2015
1,PPA,96.66870029873354,16542.18,CapeScottPark,fragstats,2015
2,PPA,2.8253460680775864,483.48,CapeScottPark,fragstats,2015
3,PPA,0.5059536331888753,86.58,CapeScottPark,fragstats,2015
1,PPA,68.90547263681592,49.86,CardiffMountainEcologicalReserve,fragstats,2015
2,PPA,26.3681592039801,19.08,CardiffMountainEcologicalReserve,fragstats,2015
